Date,Trend
2016-12-19,82
2016-12-20,77
2016-12-21,80
2016-12-22,68
2016-12-23,72
2016-12-24,63
2016-12-25,66
2016-12-26,66
2016-12-27,68
2016-12-28,92
2016-12-29,89
2016-12-30,82
2016-12-31,64
2017-01-01,74
2017-01-02,77
2017-01-03,84
2017-01-04,85
2017-01-05,75
2017-01-06,70
2017-01-07,66
2017-01-08,59
2017-01-09,74
2017-01-10,78
2017-01-11,76
2017-01-12,81
2017-01-13,81
2017-01-14,100
2017-01-15,75
2017-01-16,72
2017-01-17,82
2017-01-18,75
2017-01-19,75
2017-01-20,70
2017-01-21,57
2017-01-22,64
2017-01-23,70
2017-01-24,78
2017-01-25,71
2017-01-26,73
2017-01-27,73
2017-01-28,60
2017-01-29,57
2017-01-30,75
2017-01-31,72
2017-02-01,77
2017-02-02,76
2017-02-03,70
2017-02-04,62
2017-02-05,65
2017-02-06,89
2017-02-07,89
2017-02-08,87
2017-02-09,98
2017-02-10,95
2017-02-11,82
2017-02-12,81
2017-02-13,86
2017-02-14,88
2017-02-15,85
2017-02-16,94
2017-02-17,94
2017-02-18,78
2017-02-19,78
2017-02-20,93
2017-02-21,90
2017-02-22,95
2017-02-23,90
2017-02-24,100
2017-02-25,89
2017-02-26,80
2017-02-27,97
2017-02-28,97
2017-03-01,90
2017-03-02,87
2017-03-03,88
2017-03-04,66
2017-03-05,25
2017-03-06,33
2017-03-07,33
2017-03-08,29
2017-03-09,35
2017-03-10,32
2017-03-11,27
2017-03-12,26
2017-03-13,32
2017-03-14,34
2017-03-15,30
2017-03-16,31
2017-03-17,31
2017-03-18,30
2017-03-19,28
2017-03-20,37
2017-03-21,38
2017-03-22,38
2017-03-23,31
2017-03-24,33
2017-03-25,37
2017-03-26,42
2017-03-27,40
2017-03-28,34
2017-03-29,33
2017-03-30,34
2017-03-31,35
2017-04-01,44
2017-04-02,100
2017-04-03,71
2017-04-04,49
2017-04-05,88
2017-04-06,92
2017-04-07,98
2017-04-08,89
2017-04-09,89
2017-04-10,100
2017-04-11,78
2017-04-12,82
2017-04-13,81
2017-04-14,74
2017-04-15,64
2017-04-16,67
2017-04-17,77
2017-04-18,72
2017-04-19,72
2017-04-20,74
2017-04-21,75
2017-04-22,72
2017-04-23,70
2017-04-24,80
2017-04-25,73
2017-04-26,76
2017-04-27,69
2017-04-28,75
2017-04-29,64
2017-04-30,61
2017-05-01,78
2017-05-02,76
2017-05-03,70
2017-05-04,73
2017-05-05,68
2017-05-06,72
2017-05-07,91
2017-05-08,100
2017-05-09,80
2017-05-10,66
2017-05-11,69
2017-05-12,78
2017-05-13,62
2017-05-14,58
2017-05-15,71
