Date,Open,Close,High,Low,Volume,Percentage Change,Classification
615,2.64e-06,3.05e-06,3.34e-06,2.27e-06,2847.356164829999,0.09712230414152144,0
618,3.04e-06,2.86e-06,3.19e-06,2.77e-06,2190.9750240199996,0.028776979073882106,0
621,2.86e-06,2.83e-06,2.99e-06,2.59e-06,1133.25641369,0.010489510372281076,1
624,2.82e-06,3.03e-06,3.2e-06,2.77e-06,1536.02244873,0.0032894737087190147,1
627,3.02e-06,3.500000000000001e-06,3.54e-06,2.73e-06,2712.4029872,0.13151364028453827,1
630,3.49e-06,3.41e-06,4.2e-06,3e-06,6198.589224360001,0.03333333507180214,0
633,3.41e-06,4.8e-06,4.94e-06,2.95e-06,7128.38169186,0.40594059228897095,1
636,4.8e-06,3.062e-05,4.900000000000001e-05,4.78e-06,245078.90559137,0.6192490458488464,0
639,3.062e-05,1.5390000000000007e-05,3.389e-05,1.204e-05,141850.71577609,0.30675676465034485,1
642,1.5380000000000002e-05,2.144e-05,2.598e-05,1.4e-05,76665.00574102998,0.040715884417295456,1
645,2.144e-05,2.8890000000000013e-05,3.120000000000001e-05,2.0710000000000007e-05,64440.0556024,0.2309330999851227,0
648,2.8890000000000013e-05,2.6000000000000002e-05,2.9100000000000013e-05,1.8080000000000006e-05,41068.59288259,0.038817007094621665,1
651,2.599000000000001e-05,2.443e-05,3.4240000000000004e-05,2.062e-05,46533.877885090005,0.0040766410529613495,1
654,2.444000000000001e-05,2.0520000000000007e-05,2.656000000000001e-05,1.541e-05,30147.28879059,0.2881355881690979,0
657,2.04e-05,1.6150000000000006e-05,2.144e-05,1.248e-05,22935.84853233,0.007375537883490323,1
660,1.616e-05,1.732e-05,1.752e-05,1.339e-05,16448.98536052,0.032181169837713235,0
663,1.732e-05,1.524e-05,1.868e-05,1.446e-05,18807.48595504,0.04030226543545723,1
666,1.5310000000000008e-05,1.631e-05,1.684e-05,1.377e-05,11872.50800437,0.15754131972789764,1
669,1.631e-05,1.6420000000000002e-05,2.073e-05,1.5740000000000002e-05,31029.5752148,0.12311901152133943,0
672,1.641e-05,1.5040000000000007e-05,1.6490000000000006e-05,1.409e-05,9963.63763044,0.022106632590293884,1
675,1.5040000000000007e-05,1.517e-05,1.6600000000000007e-05,1.444e-05,9326.211952080002,0.01743796095252037,0
678,1.517e-05,1.533e-05,1.5600000000000006e-05,1.458e-05,5147.5677692,0.051361385732889175,1
681,1.533e-05,1.454e-05,1.7160000000000002e-05,1.437e-05,9946.66436034,0.003427004907280207,1
684,1.455e-05,1.418e-05,1.5000000000000005e-05,1.418e-05,3315.55812987,0.08909370005130768,0
687,1.418e-05,1.152e-05,1.4490000000000005e-05,1.012e-05,12054.75052088,0.07766213268041611,1
690,1.15e-05,1.104e-05,1.3200000000000002e-05,1.063e-05,8775.991698240001,0.0718446597456932,0
693,1.105e-05,1.0280000000000003e-05,1.126e-05,9.3e-06,7216.67978853,0.029029028490185738,0
696,1.0280000000000003e-05,9.63e-06,1.07e-05,9.539999999999997e-06,3116.0583329000006,0.1947890818119049,0
699,9.64e-06,7.66e-06,9.71e-06,7.099999999999997e-06,6420.55439955,0.26402640342712397,0
702,7.66e-06,7.74e-06,8.54e-06,5.24e-06,15809.93889771,0.08251748234033585,0
705,7.73e-06,8.900000000000001e-06,9.58e-06,6.4299999999999986e-06,22116.296572760002,0.0595238097012043,0
708,8.88e-06,8.16e-06,8.97e-06,7.36e-06,12654.84752077,0.059740260243415826,0
711,8.17e-06,7.200000000000001e-06,8.49e-06,6.12e-06,5487.42150193,0.11980440467596055,1
714,7.200000000000001e-06,7.929999999999999e-06,8.51e-06,6.78e-06,6398.37288661,0.08481532335281372,0
717,7.92e-06,6.82e-06,8.13e-06,6.59e-06,5382.66109354,0.1180327832698822,0
720,6.83e-06,5.81e-06,6.84e-06,5.6399999999999985e-06,4140.01149908,0.03380782902240753,0
723,5.81e-06,6.78e-06,7.09e-06,5.34e-06,4301.481333379999,0.054393306374549866,1
726,6.78e-06,7.54e-06,8.249999999999999e-06,6.5199999999999986e-06,10113.589873550001,0.08959537744522095,0
729,7.54e-06,7.179999999999997e-06,7.62e-06,6.15e-06,5423.796586910001,0.055882353335618966,0
732,7.179999999999997e-06,5.88e-06,7.429999999999997e-06,5.74e-06,3739.450851149999,0.2431289702653885,0
735,5.88e-06,3.8e-06,5.98e-06,3.61e-06,6043.15983823,0.14798206090927124,1
738,3.8e-06,3.98e-06,4.839999999999999e-06,3.72e-06,5080.462339980001,0.022113021463155743,1
741,3.99e-06,4.45e-06,4.54e-06,3.81e-06,2498.3139910400005,0.04914529994130135,1
744,4.46e-06,4.929999999999999e-06,5.91e-06,4.18e-06,7771.065851870002,0.12045454233884813,0
747,4.929999999999999e-06,4.849999999999999e-06,5.16e-06,4.129999999999999e-06,3122.09483585,0.05664487928152085,0
750,4.849999999999999e-06,4.509999999999998e-06,4.89e-06,4.1900000000000005e-06,2304.5833865699997,0.008791209198534489,1
753,4.509999999999998e-06,4.86e-06,5.12e-06,4.37e-06,2381.8298188500003,0.056521739810705185,0
756,4.87e-06,4.12e-06,4.89e-06,3.87e-06,1643.0238937300003,0.039627037942409515,1
759,4.12e-06,4.42e-06,4.56e-06,4.059999999999998e-06,1237.64293735,0.0625,0
762,4.43e-06,3.98e-06,4.45e-06,3.89e-06,991.84471636,0.014851485379040241,1
765,3.98e-06,3.93e-06,4.29e-06,3.85e-06,1142.1730882,0.12285714596509932,0
768,3.92e-06,3.07e-06,3.95e-06,2.1e-06,3180.040361619999,0.034591194242239,1
771,3.08e-06,2.96e-06,3.46e-06,2.86e-06,1413.6019388799998,0.038961037993431084,1
774,2.9699999999999987e-06,2.98e-06,3.23e-06,2.88e-06,769.3393364299999,0.059936907142400735,1
777,2.98e-06,3.1e-06,3.24e-06,2.91e-06,665.0186154,0.022082019597291943,1
780,3.09e-06,3.24e-06,3.5899999999999987e-06,3.06e-06,1245.2984623,0.012500000186264515,0
783,3.24e-06,3.11e-06,3.31e-06,3.04e-06,546.1570390500001,0.06506849080324173,0
786,3.11e-06,2.86e-06,3.11e-06,2.6e-06,778.6110691200001,0.1781609207391739,1
789,2.86e-06,4.9000000000000005e-06,5.67e-06,2.79e-06,10870.44535163,0.1368909478187561,0
792,4.9000000000000005e-06,4.03e-06,4.94e-06,3.23e-06,7930.2358154799995,0.002487562131136656,0
795,4.049999999999999e-06,3.29e-06,4.2e-06,3.01e-06,3752.1763214400007,0.06818182021379471,0
798,3.28e-06,7.23e-06,8.449999999999999e-06,2.8e-06,27196.654364630005,0.016326529905200005,1
801,7.23e-06,5.69e-06,8.550000000000001e-06,5.24e-06,19028.299381880002,0.3844282329082489,0
804,5.67e-06,5.2e-06,6.49e-06,3.89e-06,14345.237148620003,0.231905460357666,1
807,5.19e-06,6.1799999999999984e-06,7.65e-06,5.08e-06,13154.187254690003,0.07853402942419052,0
810,6.1699999999999985e-06,5.389999999999998e-06,6.54e-06,5.36e-06,4471.578128969999,0.08232931792736052,0
